装备ID,名字,名字,装备显示图片,子弹路径,子弹名,武器特效路径,武器特效名,装备绑定特效路径,装备绑定特效名,子弹速度,是否能够攻击,音效事件名称,装备位置,最大等级,星级,允许职业,升级路径1,升级路径2,生命值,每等级生命,物理基础攻击下限,物理基础攻击下限每等级,物理基础攻击上限,物理基础攻击上限每等级,魔法基础攻击下限,魔法基础攻击下限每等级,魔法基础攻击上限,魔法基础攻击上限每等级,暴击等级,暴击成长,命中等级,命中成长,速度等级,速度成长,附带技能,售出价格,吞噬获取经验,吞噬获取经验/等级,基础战斗力,战斗力每等级,最大等级,基础分数加成%,加分成长%,装备icon,进阶消耗金币,进阶材料1,进阶材料1数量,进阶材料2,进阶材料2数量,进阶材料3,进阶材料3数量,进阶材料4,进阶材料4数量,进阶材料5,进阶材料5数量,音乐
YC00S1T8_2,暗黑骑士剑01_2+2,暗黑骑士剑,wpn_swordsman_01_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,75,4,1,YC00S1T9_2,0,1,1,330,0.085,404,0.085,0,0,0,0,0,0,102,0.085,0,0,swordsman_basicattack0103_2,25,100,10,170,26,75,80,0.0,icn_wpn_swordsman_01_04_02.png,10000,0,,0,,0,,0,,0,,
YC00S1T9_2,暗黑骑士剑01_2+3,暗黑骑士剑,wpn_swordsman_01_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,80,4,1,,,1,1,350,0.085,428,0.085,0,0,0,0,0,0,108,0.085,0,0,swordsman_basicattack0103_2,25,100,10,180,27,80,80,0.2,icn_wpn_swordsman_01_04_02.png,10000,0,,0,,0,,0,,0,,
YC00S1T10_3,橙色骑士剑01_3,橙色骑士剑3,wpn_swordsman_01_05_03.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,95,5,1,0,0,1,1,437,0.085,535,0.085,0,0,0,0,0,0,135,0.085,0,0,swordsman_basicattack0105_3,25,100,10,225,34,95,100,0.0,icn_wpn_swordsman_01_05_03.png,20000,0,,0,,0,,0,,0,,
YC00S1T10_4,橙色骑士剑01_4,橙色骑士剑4,wpn_swordsman_01_05_04.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,100,5,1,0,0,1,1,467,0.085,570,0.085,0,0,0,0,0,0,144,0.085,0,0,swordsman_basicattack0105_4,25,100,10,240,36,100,100,0.0,icn_wpn_swordsman_01_05_04.png,20000,0,,0,,0,,0,,0,,
YC00S2T1,蛮族手斧02,蛮族手斧,wpn_swordsman_02_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,10,1,1,YC00S2T2,0,1,1,158,0.085,238,0.085,0,0,0,0,0,0,35,0.085,0,0,swordsman_basicattack0201,25,100,10,50,8,10,1,1.0,icn_wpn_swordsman_02_01.png,0,0,,0,,0,,0,,0,,
YC00S2T2,蛮族战斧02,蛮族战斧,wpn_swordsman_02_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,25,2,1,YC00S2T3_1,YC00S2T3_2,1,1,238,0.085,356,0.085,0,0,0,0,0,0,53,0.085,0,0,swordsman_basicattack0201,25,100,10,75,11,25,25,0.4,icn_wpn_swordsman_02_02.png,2000,ma010204,1,ma010203,1,,,,,0,,
YC00S2T3_1,蛮族牛头斧02_1,蛮族牛头斧,wpn_swordsman_02_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,40,3,1,YC00S2T4_1,0,1,1,317,0.085,475,0.085,0,0,0,0,0,0,70,0.085,0,0,swordsman_basicattack0203_1,25,100,10,100,15,40,40,0.0,icn_wpn_swordsman_02_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S2T4_1,蛮族牛头斧02_1+1,蛮族牛头斧,wpn_swordsman_02_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,45,3,1,YC00S2T5_1,0,1,1,348,0.085,523,0.085,0,0,0,0,0,0,77,0.085,0,0,swordsman_basicattack0203_1,25,100,10,110,17,45,40,0.0,icn_wpn_swordsman_02_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S2T5_1,蛮族牛头斧02_1+2,蛮族牛头斧,wpn_swordsman_02_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,50,3,1,YC00S2T6_1,0,1,1,380,0.085,570,0.085,0,0,0,0,0,0,84,0.085,0,0,swordsman_basicattack0203_1,25,100,10,120,18,50,40,0.6,icn_wpn_swordsman_02_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S2T6_1,蛮族斩首斧02_1,蛮族斩首斧,wpn_swordsman_02_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,65,4,1,YC00S2T7_1,0,1,1,475,0.085,713,0.085,0,0,0,0,0,0,105,0.085,0,0,swordsman_basicattack0203_1,25,100,10,150,23,65,80,0.0,icn_wpn_swordsman_02_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S2T7_1,蛮族斩首斧02_1+1,蛮族斩首斧,wpn_swordsman_02_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,70,4,1,YC00S2T8_1,0,1,1,507,0.085,760,0.085,0,0,0,0,0,0,112,0.085,0,0,swordsman_basicattack0203_1,25,100,10,160,24,70,80,0.0,icn_wpn_swordsman_02_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S2T8_1,蛮族斩首斧02_1+2,蛮族斩首斧,wpn_swordsman_02_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,75,4,1,YC00S2T9_1,0,1,1,539,0.085,808,0.085,0,0,0,0,0,0,119,0.085,0,0,swordsman_basicattack0203_1,25,100,10,170,26,75,80,0.0,icn_wpn_swordsman_02_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S2T9_1,蛮族斩首斧02_1+3,蛮族斩首斧,wpn_swordsman_02_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,80,4,1,,,1,1,570,0.085,855,0.085,0,0,0,0,0,0,126,0.085,0,0,swordsman_basicattack0203_1,25,100,10,180,27,80,80,0.2,icn_wpn_swordsman_02_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S2T10_1,橙色狂战斧02_1,橙色狂战斧1,wpn_swordsman_02_05_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,95,5,1,0,0,1,1,713,0.085,1069,0.085,0,0,0,0,0,0,158,0.085,0,0,swordsman_basicattack0205_1,25,100,10,225,34,95,100,0.0,icn_wpn_swordsman_02_05_01.png,20000,0,,0,,0,,0,,0,,
YC00S2T10_2,橙色狂战斧02_2,橙色狂战斧2,wpn_swordsman_02_05_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,100,5,1,0,0,1,1,760,0.085,1140,0.085,0,0,0,0,0,0,168,0.085,0,0,swordsman_basicattack0205_2,25,100,10,240,36,100,100,0.0,icn_wpn_swordsman_02_05_02.png,20000,0,,0,,0,,0,,0,,
YC00S2T3_2,蛮族切肉斧02_2,蛮族切肉斧,wpn_swordsman_02_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,40,3,1,YC00S2T4_2,0,1,1,317,0.085,475,0.085,0,0,0,0,0,0,70,0.085,0,0,swordsman_basicattack0203_2,25,100,10,100,15,40,40,0.0,icn_wpn_swordsman_02_03_02.png,5000,ma020301,1,ma020301,1,0,,0,,0,,
YC00S2T4_2,蛮族切肉斧02_2+1,蛮族切肉斧,wpn_swordsman_02_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,45,3,1,YC00S2T5_2,0,1,1,348,0.085,523,0.085,0,0,0,0,0,0,77,0.085,0,0,swordsman_basicattack0203_2,25,100,10,110,17,45,40,0.0,icn_wpn_swordsman_02_03_02.png,5000,0,,0,,0,,0,,0,,
YC00S2T5_2,蛮族切肉斧02_2+2,蛮族切肉斧,wpn_swordsman_02_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,50,3,1,YC00S2T6_2,0,1,1,380,0.085,570,0.085,0,0,0,0,0,0,84,0.085,0,0,swordsman_basicattack0203_2,25,100,10,120,18,50,40,0.6,icn_wpn_swordsman_02_03_02.png,5000,0,,0,,0,,0,,0,,
YC00S2T6_2,蛮族狂战斧02_2,蛮族狂战斧,wpn_swordsman_02_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,65,4,1,YC00S2T7_2,0,1,1,475,0.085,713,0.085,0,0,0,0,0,0,105,0.085,0,0,swordsman_basicattack0203_2,25,100,10,150,23,65,80,0.0,icn_wpn_swordsman_02_04_02.png,10000,ma020401,1,ma020409,1,0,,0,,0,,
YC00S2T7_2,蛮族狂战斧02_2+1,蛮族狂战斧,wpn_swordsman_02_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,70,4,1,YC00S2T8_2,0,1,1,507,0.085,760,0.085,0,0,0,0,0,0,112,0.085,0,0,swordsman_basicattack0203_2,25,100,10,160,24,70,80,0.0,icn_wpn_swordsman_02_04_02.png,10000,0,,0,,0,,0,,0,,
YC00S2T8_2,蛮族狂战斧02_2+2,蛮族狂战斧,wpn_swordsman_02_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,75,4,1,YC00S2T9_2,0,1,1,539,0.085,808,0.085,0,0,0,0,0,0,119,0.085,0,0,swordsman_basicattack0203_2,25,100,10,170,26,75,80,0.0,icn_wpn_swordsman_02_04_02.png,10000,0,,0,,0,,0,,0,,
YC00S2T9_2,蛮族狂战斧02_2+3,蛮族狂战斧,wpn_swordsman_02_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,80,4,1,,,1,1,570,0.085,855,0.085,0,0,0,0,0,0,126,0.085,0,0,swordsman_basicattack0203_2,25,100,10,180,27,80,80,0.2,icn_wpn_swordsman_02_04_02.png,10000,0,,0,,0,,0,,0,,
YC00S2T10_3,橙色狂战斧02_3,橙色狂战斧3,wpn_swordsman_02_05_03.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,95,5,1,0,0,1,1,713,0.085,1069,0.085,0,0,0,0,0,0,158,0.085,0,0,swordsman_basicattack0205_3,25,100,10,225,34,95,100,0.0,icn_wpn_swordsman_02_05_03.png,20000,0,,0,,0,,0,,0,,
YC00S2T10_4,橙色狂战斧02_4,橙色狂战斧4,wpn_swordsman_02_05_04.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,100,5,1,0,0,1,1,760,0.085,1140,0.085,0,0,0,0,0,0,168,0.085,0,0,swordsman_basicattack0205_4,25,100,10,240,36,100,100,0.0,icn_wpn_swordsman_02_05_04.png,20000,0,,0,,0,,0,,0,,
YC00S3T1,地头武士刀03,地头武士刀,wpn_swordsman_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,10,1,1,YC00S3T2,0,1,1,117,0.085,143,0.085,0,0,0,0,0,0,40,0.085,0,0,swordsman_basicattack0301,25,100,10,50,8,10,1,1.0,icn_wpn_swordsman_03_01.png,0,0,,0,,0,,0,,0,,
YC00S3T2,奉行武士刀03,奉行武士刀,wpn_swordsman_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,25,2,1,YC00S3T3_1,YC00S3T3_2,1,1,175,0.085,214,0.085,0,0,0,0,0,0,60,0.085,0,0,swordsman_basicattack0301,25,100,10,75,11,25,25,0.4,icn_wpn_swordsman_03_02.png,2000,ma010204,1,ma010203,1,,,,,0,,
YC00S3T3_1,旗本武士刀03_1,旗本武士刀,wpn_swordsman_03_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,40,3,1,YC00S3T4_1,0,1,1,233,0.085,285,0.085,0,0,0,0,0,0,80,0.085,0,0,swordsman_basicattack0303_1,25,100,10,100,15,40,40,0.0,icn_wpn_swordsman_03_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S3T4_1,旗本武士刀03_1+1,旗本武士刀,wpn_swordsman_03_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,45,3,1,YC00S3T5_1,0,1,1,257,0.085,314,0.085,0,0,0,0,0,0,88,0.085,0,0,swordsman_basicattack0303_1,25,100,10,110,17,45,40,0.0,icn_wpn_swordsman_03_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S3T5_1,旗本武士刀03_1+2,旗本武士刀,wpn_swordsman_03_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,50,3,1,YC00S3T6_1,0,1,1,280,0.085,342,0.085,0,0,0,0,0,0,96,0.085,0,0,swordsman_basicattack0303_1,25,100,10,120,18,50,40,0.6,icn_wpn_swordsman_03_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S3T6_1,赤鬼武士刀03_1,赤鬼武士刀,wpn_swordsman_03_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,65,4,1,YC00S3T7_1,0,1,1,350,0.085,428,0.085,0,0,0,0,0,0,120,0.085,0,0,swordsman_basicattack0303_1,25,100,10,150,23,65,80,0.0,icn_wpn_swordsman_03_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S3T7_1,赤鬼武士刀03_1+1,赤鬼武士刀,wpn_swordsman_03_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,70,4,1,YC00S3T8_1,0,1,1,373,0.085,456,0.085,0,0,0,0,0,0,128,0.085,0,0,swordsman_basicattack0303_1,25,100,10,160,24,70,80,0.0,icn_wpn_swordsman_03_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S3T8_1,赤鬼武士刀03_1+2,赤鬼武士刀,wpn_swordsman_03_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,75,4,1,YC00S3T9_1,0,1,1,397,0.085,485,0.085,0,0,0,0,0,0,136,0.085,0,0,swordsman_basicattack0303_1,25,100,10,170,26,75,80,0.0,icn_wpn_swordsman_03_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
